shape_index,x,previous_h,smooth_h,previous_dh_dx,smooth_dh_dx,physical_y_over_A
0.000000000000000000e+00,3.291999999999999815e+00,6.363026535798435059e-05,6.363026535798435059e-05,-5.422168134593218349e-05,-5.422168134593218349e-05,2.891569857413356110e-04
0.000000000000000000e+00,3.295999999999999819e+00,6.341388171923162767e-05,6.341388171923162767e-05,-5.397038044791556204e-05,-5.397038044791556204e-05,2.874372678287515602e-04
0.000000000000000000e+00,3.299999999999999822e+00,6.319850038172332061e-05,6.319850038172332061e-05,-5.372052906082534893e-05,-5.372052906082534893e-05,2.857243272950224142e-04
0.000000000000000000e+00,3.303999999999999826e+00,6.298411556731773817e-05,6.298411556731773817e-05,-5.347211724683761068e-05,-5.347211724683761068e-05,2.840181099707454857e-04
0.000000000000000000e+00,3.307999999999999829e+00,6.277072153746676166e-05,6.277072153746676166e-05,-5.322513514683774430e-05,-5.322513514683774430e-05,2.823185618580373530e-04
0.000000000000000000e+00,3.311999999999999833e+00,6.255831259290261896e-05,6.255831259290261896e-05,-5.297957297971437701e-05,-5.297957297971437701e-05,2.806256291250247580e-04
0.000000000000000000e+00,3.315999999999999837e+00,6.234688307332701663e-05,6.234688307332701663e-05,-5.273542104166048278e-05,-5.273542104166048278e-05,2.789392581002736503e-04
0.000000000000000000e+00,3.319999999999999840e+00,6.213642735710355174e-05,6.213642735710355174e-05,-5.249266970548128184e-05,-5.249266970548128184e-05,2.772593952671588164e-04
0.000000000000000000e+00,3.323999999999999844e+00,6.192693986095237349e-05,6.192693986095237349e-05,-5.225130941990924855e-05,-5.225130941990924855e-05,2.755859872581669398e-04
0.000000000000000000e+00,3.327999999999999847e+00,6.171841503964811085e-05,6.171841503964811085e-05,-5.201133070892582097e-05,-5.201133070892582097e-05,2.739189808491329821e-04
0.000000000000000000e+00,3.331999999999999851e+00,6.151084738572006364e-05,6.151084738572006364e-05,-5.177272417108993410e-05,-5.177272417108993410e-05,2.722583229534043022e-04
0.000000000000000000e+00,3.335999999999999854e+00,6.130423142915517173e-05,6.130423142915517173e-05,-5.153548047887322779e-05,-5.153548047887322779e-05,2.706039606159300740e-04
0.000000000000000000e+00,3.339999999999999858e+00,6.109856173710383035e-05,6.109856173710383035e-05,-5.129959037800187503e-05,-5.129959037800187503e-05,2.689558410072740509e-04
0.000000000000000000e+00,3.343999999999999861e+00,6.089383291358812454e-05,6.089383291358812454e-05,-5.106504468680489510e-05,-5.106504468680489510e-05,2.673139114175443888e-04
0.000000000000000000e+00,3.347999999999999865e+00,6.069003959921261137e-05,6.069003959921261137e-05,-5.083183429556908044e-05,-5.083183429556908044e-05,2.656781192502379258e-04
0.000000000000000000e+00,3.351999999999999869e+00,6.048717647087794837e-05,6.048717647087794837e-05,-5.059995016590015758e-05,-5.059995016590015758e-05,2.640484120159968581e-04
0.000000000000000000e+00,3.355999999999999872e+00,6.028523824149673081e-05,6.028523824149673081e-05,-5.036938333009039913e-05,-5.036938333009039913e-05,2.624247373262704941e-04
0.000000000000000000e+00,3.359999999999999876e+00,6.008421965971205323e-05,6.008421965971205323e-05,-5.014012489049230728e-05,-5.014012489049230728e-05,2.608070428868799182e-04
0.000000000000000000e+00,3.363999999999999879e+00,5.988411550961848318e-05,5.988411550961848318e-05,-4.991216601889878900e-05,-4.991216601889878900e-05,2.591952764914817698e-04
