case,mass_Msun,z,r_over_R200,theta_rad,native_evaluations,native_relative_error,native_y,scaled_evaluations,scaled_relative_error,log_y_scaled,outside_painted_disc
Battaglia12,1.0e14,5.0,0.1,1.8149383457348534e-5,779,3.514810356764219e-14,0.0001753817599577854,171,4.939807588284044e-13,-8.648545474552312,false
Battaglia12,1.0e14,5.0,1.0,0.00018149383457348534,665,1.3281892613532616e-13,8.546915855735354e-6,133,9.187117432375925e-12,-11.669940058717664,false
Battaglia12,1.0e14,5.0,4.0,0.0007259753382939414,627,7.689051604323407e-14,2.149838157242541e-8,133,3.668815337149759e-11,-17.6552881803473,false
Battaglia12,1.0e14,5.0,100.0,0.018149383457348536,437,5.2732922260139193e-14,7.401927372248753e-19,133,2.4646936014298827e-11,-41.74737634488015,true
Battaglia12,1.0e14,5.0,10000.0,1.8149383457348534,171,8.574781554282665e-13,1.0888584225052913e-35,95,1.053561243083722e-12,-80.5053484261746,true
Battaglia12,1.0e14,5.0,1.0e6,181.49383457348534,19,1.619272809113224e-16,3.043596017871069e-53,19,1.973446678614755e-15,-120.9239702117265,true
Battaglia12,1.0e14,5.0,1.0e8,18149.383457348533,19,1.3730485097214874e-16,3.8916289236528885e-72,19,6.505223280642897e-16,-164.42729887915044,true
Battaglia12,5.011872336272715e15,0.1,0.003,2.6707446292773567e-5,969,2.54839877507989e-14,0.0005926551747750148,209,8.172887626240299e-12,-7.4308978208899195,false
Battaglia12,5.011872336272715e15,0.1,0.1,0.0008902482097591189,779,5.036319063141227e-14,0.0002952879654242669,133,3.238114242626329e-11,-8.12755952377236,false
Battaglia12,5.011872336272715e15,0.1,1.0,0.008902482097591188,665,1.758175063686896e-13,5.583372587431199e-6,133,1.9870288511919152e-11,-12.095717557801331,false
Battaglia12,5.011872336272715e15,0.1,4.0,0.03560992839036475,589,5.403113833360581e-13,3.934474102309061e-8,133,1.1786196948887586e-12,-17.050903517187493,false
Battaglia12,5.011872336272715e15,0.1,100.0,0.8902482097591189,437,1.0019239320481758e-13,2.713118715781288e-14,133,1.0093855174124118e-12,-31.23809251107657,true
Battaglia12,5.011872336272715e15,0.1,10000.0,89.02482097591188,171,1.0276886397794359e-13,1.9397062334406545e-23,95,5.829257972394487e-14,-52.296920603315414,true
