case,mass_Msun,z,r_over_R200,theta_rad,native_evaluations,native_relative_error,native_y,scaled_evaluations,scaled_relative_error,log_y_scaled,outside_painted_disc
Battaglia12,1.0e12,0.1,3.1622776601683795e6,1645.0882859333703,19,0.0,4.0364465305526994e-30,19,1.0978806626201724e-15,-67.6821880565438,true
Battaglia12,1.0e12,0.1,4.216965034285823e6,2193.7604870929763,19,3.537035426187683e-16,1.2490792580723456e-30,19,7.318062645778995e-16,-68.85514610346759,true
Battaglia12,1.0e12,0.1,5.623413251903491e6,2925.426626571537,19,1.428943591449704e-16,3.8647760593508535e-31,19,7.805730087890331e-16,-70.0282341431142,true
Battaglia12,1.0e12,0.1,7.498942093324558e6,3901.119104754397,19,2.3093115176244644e-16,1.1957128651223635e-31,19,1.3010162443084517e-15,-71.20139533543976,true
Battaglia12,1.0e12,0.1,1.0e7,5202.225935611788,19,0.0,3.6992322248489516e-32,19,1.2143889293493213e-15,-72.37459768448939,true
Battaglia12,1.0e12,0.1,1.333521432163324e7,6937.27978009422,19,3.016012953834611e-16,1.1444220952732026e-32,19,2.4290482768353955e-15,-73.54782318650282,true
Battaglia12,1.0e12,0.1,1.7782794100389227e7,9251.011267668913,19,0.0,3.540423510517683e-33,19,3.084889313355261e-16,-74.72106171307415,true
Battaglia12,1.0e12,0.1,2.3713737056616552e7,12336.421794620897,19,0.0,1.095269555091455e-33,19,2.0568636680550427e-15,-75.89430756679639,true
Battaglia12,1.0e12,0.1,3.162277660168379e7,16450.882859333702,19,1.5916751549034663e-16,3.3883247287508142e-34,19,5.4857145633995145e-15,-77.06755754286202,true
Battaglia12,1.0e12,0.1,4.2169650342858225e7,21937.604870929757,19,2.572535872589379e-16,1.0482093456814026e-34,19,2.1945888569988065e-15,-78.24080983851798,true
Battaglia12,1.0e12,0.1,5.623413251903491e7,29254.266265715363,19,2.0789259148697637e-16,3.242727560012375e-35,19,7.316315955740106e-16,-79.41406343962551,true
Battaglia12,1.0e12,0.1,7.498942093324558e7,39011.19104754397,19,1.68002949218995e-16,1.0031654787477264e-35,19,1.300860661041178e-15,-80.58731777562379,true
Battaglia12,1.0e12,0.1,1.0e8,52022.25935611788,19,4.073017093845465e-16,3.103376841438395e-36,19,1.5178840727055193e-15,-81.7605725254655,true
